"Item Type","Product ID","Product Type","Product SKU","Bin Picking Number","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Custom Item","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Name","Product URL","Redirect Old URL?","Brand","Option Set","Option Set Align","Brand + Name","Description","Price","Cost Price","Retail Price","Sale Price","Calculated Price","Fixed Shipping Price","Free Shipping","Warranty","Weight","Width","Height","Depth","Allow Purchases","Product Visible","Product Not Visible","Product Availability","Product Inventoried","Track Inventory","Stock Level","Low Stock Level","Date Added","Date Modified","Category String","Category Details","Product Files","Product Images","Event Date Required","Event Date Name","Event Date Is Limited","Event Date Start Date","Event Date End Date","Search Keywords","Page Title","Meta Keywords","Meta Description","MYOB Asset Acct","MYOB Income Acct","MYOB Expense Acct","Product Condition","Sort Order","Product Tax Class","Avalara Product Tax Code","Product UPC/EAN","Product Custom Fields","Stop Processing Rules"
"Product",77,"P","PC-LIGHTUSB-M",,,,,,,,,,,,,0,"iPhone 5 Portable Car Charger - 8Pin USB Lightning Charger (Mercury)","/iphone-5-portable-car-charger-8pin-usb-lightning-charger-mercury/",,"GOOSPERY","Colours - 8Pin USB Lightning Charger","Right","GOOSPERY  iPhone 5 Portable Car Charger - 8Pin USB Lightning Charger (Mercury)","<p><span>This iPhone 5 Portable Car Charger is high quality OEM Mercury Goospery micro 8pin 5V 1.2A car charger. It charges your device in your car by using cigarette lighter outlet. This product is compact, easy carrying and a fast speed charger.</span></p> <p><span><span>1) Stable power supply to charge fully (5V, 1.2A)&nbsp;</span><br /><span>2) Compact charger, easy carrying and fast speed charging&nbsp;</span><br /><span>3) Pretty and cute appearance design</span><br /><span>4) Cable length: approximately 1M&nbsp;</span><br /><span>5) Available Colour : Pink/Yellow/Mint</span><br /><span>6) Compatibility: iPhone 5, iPhone 5S, iPhone 5C</span><br /><span>7) Material: PC/ABS(Polycarbonate/Acrylonitrile Butadiene Styrene)</span></span></p> <p>&nbsp;</p>",25,0,0,0,25,0,0,,0,0,0,0,1,0,1,,1,"by option",300,30,08/15/14,10/01/15,"Accessories/Chargers","Category ID: 27, Category Name: Chargers, Category Path: Accessories/Chargers",,"Product Image ID: 320, Product Image File: 8_pin_car_charger_mint_1__22840.jpg, Product Image Path: m/114/8_pin_car_charger_mint_1__22840.jpg, Product Image URL: http://www.happytel.com/product_images/m/114/8_pin_car_charger_mint_1__22840.jpg, Product Image Description: iPhone 5 Portable Car Charger - 8Pin USB Lightning Charger Mint (Mercury), Product Image Is Thumbnail: 0, Product Image Index: 2|Product Image ID: 321, Product Image File: 8_pin_car_charger_pink_1__38734.jpg, Product Image Path: v/792/8_pin_car_charger_pink_1__38734.jpg, Product Image URL: http://www.happytel.com/product_images/v/792/8_pin_car_charger_pink_1__38734.jpg, Product Image Description: iPhone 5 Portable Car Charger - 8Pin USB Lightning Charger Pink (Mercury), Product Image Is Thumbnail: 0, Product Image Index: 1|Product Image ID: 322, Product Image File: 8_pin_car_charger_yellowk_1_1__32742.jpg, Product Image Path: w/917/8_pin_car_charger_yellowk_1_1__32742.jpg, Product Image URL: http://www.happytel.com/product_images/w/917/8_pin_car_charger_yellowk_1_1__32742.jpg, Product Image Description: iPhone 5 Portable Car Charger - 8Pin USB Lightning Charger Yellow (Mercury), Product Image Is Thumbnail: 0, Product Image Index: 3|Product Image ID: 323, Product Image File: 8_pin_car_charger_2__14299.jpg, Product Image Path: x/233/8_pin_car_charger_2__14299.jpg, Product Image URL: http://www.happytel.com/product_images/x/233/8_pin_car_charger_2__14299.jpg, Product Image Description: iPhone 5 Portable Car Charger - 8Pin USB Lightning Charger (Mercury), Product Image Is Thumbnail: 1, Product Image Index: 0",0,,0,0,0,,,,,,,,"New",0,"Default Tax Class",,,,0
"  SKU",1362,,"PC-LIGHTUSB-M-MINT",,,,,,,,,,,,,,"[CS]Colours PC-LIGHTUSB-M=Mint:#68f7fc",,,,,,,,,0,,,,,,,,,,,,,,,,,100,10,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",1363,,"PC-LIGHTUSB-M-PK",,,,,,,,,,,,,,"[CS]Colours PC-LIGHTUSB-M=Pink:#ff308d",,,,,,,,,0,,,,,,,,,,,,,,,,,100,10,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",1364,,"PC-LIGHTUSB-M-YEL",,,,,,,,,,,,,,"[CS]Colours PC-LIGHTUSB-M=Yellow:#f5dd3d",,,,,,,,,0,,,,,,,,,,,,,,,,,100,10,,,,,,,,,,,,,,,,,,,,,,,,,
"Product",79,"P","HC-G900-77",,,,,,,,,,,,,0,"Galaxy S5 - OtterBox Defender Whisper","/galaxy-s5-otterbox-defender-whisper/",,"OTTERBOX","Colours - Galaxy S5 OtterBox Defender","Right","OTTERBOX  Galaxy S5 - OtterBox Defender Whisper","<p><span>- The Defender Series Samsung GALAXY S5 case delivers rugged protection in color combinations you create.</span><br /><span>- Multi-layer, custom GALAXY S5 case readies your new phone for heavy use and potential mishaps.</span><br /><span>- This is the rugged GALAXY S5 case that lets you use your high-end device in demanding conditions and rough environments without worry.</span><br /><span>- Wrap your GALAXY S5 with trusted OtterBox protection, and enjoy using it everywhere.</span></p>",59.95,0,0,0,59.95,0,0,,10,0,0,0,1,1,0,,1,"by option",400,40,08/18/14,09/28/15,"PHONE CASES;PHONE CASES/Samsung/Galaxy S5","Category ID: 219, Category Name: PHONE CASES, Category Path: PHONE CASES|Category ID: 238, Category Name: Galaxy S5, Category Path: PHONE CASES/Samsung/Galaxy S5",,"Product Image ID: 275, Product Image File: otterbox_defender_case_black_1__70539.jpg, Product Image Path: r/129/otterbox_defender_case_black_1__70539.jpg, Product Image URL: http://www.happytel.com/product_images/r/129/otterbox_defender_case_black_1__70539.jpg, Product Image Description: Samsung Galaxy S5 Cases Covers - Genuine OtterBox Defender Whisper Black, Product Image Is Thumbnail: 0, Product Image Index: 0|Product Image ID: 277, Product Image File: otterbox_pink__37868.jpg, Product Image Path: z/096/otterbox_pink__37868.jpg, Product Image URL: http://www.happytel.com/product_images/z/096/otterbox_pink__37868.jpg, Product Image Description: Samsung Galaxy S5 Cases Covers - Genuine OtterBox Defender Whisper Citron Pink, Product Image Is Thumbnail: 0, Product Image Index: 1|Product Image ID: 279, Product Image File: otterbox_defender_case_aqua_blue_light_teal_1__94342.jpg, Product Image Path: j/752/otterbox_defender_case_aqua_blue_light_teal_1__94342.jpg, Product Image URL: http://www.happytel.com/product_images/j/752/otterbox_defender_case_aqua_blue_light_teal_1__94342.jpg, Product Image Description: Samsung Galaxy S5 Cases Covers - Genuine OtterBox Defender Whisper Aqua Blue & Light Teal, Product Image Is Thumbnail: 0, Product Image Index: 3|Product Image ID: 272, Product Image File: otterbox_defender_case_citron_green_slate_grey_1__68237.jpg, Product Image Path: q/725/otterbox_defender_case_citron_green_slate_grey_1__68237.jpg, Product Image URL: http://www.happytel.com/product_images/q/725/otterbox_defender_case_citron_green_slate_grey_1__68237.jpg, Product Image Description: Samsung Galaxy S5 Cases Covers - Genuine OtterBox Defender Whisper Citron Green & Slate Grey, Product Image Is Thumbnail: 1, Product Image Index: 2",0,"Delivery Date",0,0,0,,,,,,,,"New",0,"Default Tax Class",,,"""Style=Hard Case"";Function=Protective",0
"  SKU",1349,,"HC-G900-77-38796",,,,,,,,,,,,,,"[CS]Colours HC-G900-77=Black:#050505",,,,,,,,,0,,,,,,,,,,,,,,,,,100,10,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",1350,,"HC-G900-77-39170",,,,,,,,,,,,,,"[CS]Colours HC-G900-77=Citron Green & Slate Grey:#bff54c|#5c585c",,,,,,,,,0,,,,,,,,,,,,,,,,,100,10,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",1351,,"HC-G900-77-39166",,,,,,,,,,,,,,"[CS]Colours HC-G900-77=White / Blaze Pink:#ffffff|#e83c6d",,,,,,,,,0,,,,,,,,,,,,,,,,,100,10,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",1352,,"HC-G900-77-39168",,,,,,,,,,,,,,"[CS]Colours HC-G900-77=Aqua Blue & Light Teal:#40dbdb",,,,,,,,,0,,,,,,,,,,,,,,,,,100,10,,,,,,,,,,,,,,,,,,,,,,,,,
"  Rule",288,,,,,,,,,,,,,,,,"[CS]Colours HC-G900-77=Black:#050505",,,,,,,,,,,,,,,,,,,,1,"Y",,,,,,,,,,,,"Product Image ID: , Product Image File: , Product Image Path: 288_source_1409287067.jpg, Product Image URL: http://cdn3.bigcommerce.com/s-aq6l83/product_images/attribute_rule_images/288_source_1409287067.jpg, Product Image Description: , Product Image Is Thumbnail: 0, Product Image Index: ",,,,,,,,,,,,,,,,,,,0
